Unnamed: 0,property_type,price,location,city,baths,purpose,bedrooms,Area_in_Marla
1091,House,14500000,Valencia Housing Society,Lahore,2,For Sale,3,10.0
1092,House,9000000,Palm Villas,Lahore,4,For Sale,3,5.0
1093,House,9500000,Islampura,Lahore,4,For Sale,4,3.5
1094,House,37000000,Bahria Town,Lahore,5,For Sale,4,24.0
1096,House,8500000,Mansoorah,Lahore,4,For Sale,4,5.0
1097,House,18000000,Punjab Govt Employees Society,Lahore,7,For Sale,6,11.0
1098,House,37000000,Bahria Town,Lahore,4,For Sale,5,20.0
1099,House,9000000,Marghzar Officers Colony,Lahore,3,For Sale,3,5.0
1100,House,22500000,Wapda Town,Lahore,6,For Sale,5,10.0
1102,House,6500000,Mughalpura,Lahore,3,For Sale,5,4.0
1104,House,30000000,DHA Defence,Lahore,6,For Sale,5,10.0
1105,House,3800000,Saggian,Lahore,1,For Sale,2,5.0
1106,House,21500000,Mustafa Town,Lahore,3,For Sale,3,10.0
1107,House,16200000,Wapda Town,Lahore,3,For Sale,2,10.0
1109,House,14500000,Model Colony,Lahore,4,For Sale,5,6.0
1110,House,17500000,Allama Iqbal Town,Lahore,5,For Sale,5,6.5
1111,House,3900000,Shoukat Town,Lahore,2,For Sale,3,2.0
1113,House,8800000,Al Hamra Town,Lahore,4,For Sale,2,5.0
1115,House,39000000,Askari,Lahore,7,For Sale,6,20.0
1116,House,26000000,Askari,Lahore,4,For Sale,4,12.0
1117,House,12500000,Pak Arab Housing Society,Lahore,4,For Sale,4,5.0
1118,House,21500000,DHA Defence,Lahore,5,For Sale,4,7.0
1119,House,32500000,DHA Defence,Lahore,5,For Sale,5,20.0
1120,House,12500000,Faisal Town,Lahore,4,For Sale,4,7.0
1121,House,35500000,Askari,Lahore,5,For Sale,4,17.0
1122,House,12500000,Badami Bagh,Lahore,3,For Sale,4,7.0
1125,House,9000000,Gulistan Colony,Lahore,5,For Sale,6,6.0
1126,House,19500000,Bahria Town,Lahore,7,For Sale,5,10.0
1127,House,19000000,Allama Iqbal Town,Lahore,7,For Sale,5,10.0
1129,House,23000000,DHA Defence,Lahore,5,For Sale,4,10.0
1130,House,29000000,DHA Defence,Lahore,5,For Sale,4,10.0
1131,House,4950000,Lahore Motorway City,Lahore,3,For Sale,3,5.0
1132,House,16000000,OPF Housing Scheme,Lahore,7,For Sale,6,9.0
1134,House,41000000,DHA Defence,Lahore,5,For Sale,5,20.0
1136,House,35000000,Garden Town,Lahore,4,For Sale,5,15.0
1137,House,9000000,Ferozepur Road,Lahore,5,For Sale,6,6.0
1138,House,11500000,Pak Arab Housing Society,Lahore,2,For Sale,4,5.0
1139,House,13500000,Cantt,Lahore,4,For Sale,3,5.0
1140,House,12000000,Township,Lahore,3,For Sale,5,5.0
1141,House,6500000,Babu Sabu,Lahore,4,For Sale,5,5.0
1143,House,4500000,Al Kareem Garden,Lahore,4,For Sale,2,3.0
1144,House,9200000,Eden,Lahore,4,For Sale,4,5.0
1145,House,18000000,Bahria Town,Lahore,6,For Sale,5,10.0
1146,House,20000000,Township,Lahore,5,For Sale,5,10.0
1147,House,8000000,Military Accounts Housing Society,Lahore,4,For Sale,3,4.0
1148,House,16500000,Nawab Town,Lahore,4,For Sale,5,10.0
1149,Flat,20500000,Clifton,Karachi,2,For Sale,2,5.9
1150,Flat,27000000,Clifton,Karachi,3,For Sale,3,8.7
1151,Flat,27000000,DHA Defence,Karachi,1,For Sale,1,5.8
1154,Flat,37000000,DHA Defence,Karachi,3,For Sale,2,9.1
1156,Flat,37000000,DHA Defence,Karachi,3,For Sale,2,9.1
1169,Flat,10300000,DHA Defence,Karachi,2,For Sale,2,4.7
1170,Flat,14000000,DHA Defence,Karachi,3,For Sale,3,6.5
1171,Flat,10300000,DHA Defence,Karachi,2,For Sale,2,4.7
1172,Flat,14000000,DHA Defence,Karachi,3,For Sale,3,6.5
1175,Flat,4666000,Fazaia Housing Scheme,Karachi,2,For Sale,2,5.8
1178,Upper Portion,14500000,Gulistan-e-Jauhar,Karachi,4,For Sale,3,12.0
1181,House,9205000,Northern Bypass,Karachi,4,For Sale,3,11.0
1182,House,12500000,Fazaia Housing Scheme,Karachi,5,For Sale,4,11.0
1183,Penthouse,12300000,Northern Bypass,Karachi,4,For Sale,3,10.4
1184,Penthouse,18700000,Northern Bypass,Karachi,5,For Sale,4,15.9
1185,Penthouse,26500000,Northern Bypass,Karachi,6,For Sale,5,22.0
1186,House,7500000,Chapal Uptown,Karachi,3,For Sale,3,4.8
1187,Flat,6422000,Northern Bypass,Karachi,3,For Sale,2,6.3
1188,Flat,9743000,Northern Bypass,Karachi,4,For Sale,3,9.6
1189,House,12500000,Northern Bypass,Karachi,5,For Sale,4,11.0
1191,Flat,4800000,Gulshan-e-Iqbal Town,Karachi,2,For Sale,2,4.2
1192,House,14500000,Bahria Town Karachi,Karachi,3,For Sale,3,14.0
